sentiment,title,desc,note_ip_location
1,"优衣库夏季连衣裙翠绿色好还是焦糖色好
","如题
听劝

","上海
"
1,"周六，你好
","周末愉快
","江苏
"
2,"UNIQLO&MUJI今日战果
","优衣库：全麻衬衣+白T+工装七分裤
无印良品：盘扣衬衣+全棉短裤
图：宜家荟聚店的消费满赠礼品


","陕西
"
2,"真心建议来日本日本旅游千万别带衣服
","日本优衣库一件衣服不到一百元
质量很不错而且有很多当地元素的设计
还有很多联名款

","日本
"
2,"孕期ootd优衣库孕妇裙
","准备w了
非常简单百搭的小黑裙
针织弹力大不显臃肿
简直不要太爱 
 

","广东
"
2,"澳门优衣库葡挞上衣童装感觉更可爱
","
","中国澳门
"
1,"优衣库2春夏JWA合作系列1套look
","
","四川
"
1,"优衣库饺子包什么时候降价？？？
","今日茶事儿:陈皮白茶
降价踢

","广东
"
2,"上班
","
突然发现今天的我超好看
","广东
"
1,"1大牌分享，品牌U家平替代工厂
","Hi，姐妹们，今天1平替分享——优衣库
东莞市伟龙制衣有限公司
T恤均价基本都在三四十，基本款可以选一选，四季都能穿的到
泉州市婷娜服饰有限公司
可以和上家对比一下，两家产品重合度比较高
[三R]石狮幕度服饰有限公司
款式很多，都是u家风格的衣服，一件可拍，价格大多是百元内
石狮市猛达郎体育用品有限公司
主营冲锋衣防晒衣，均价都在两位数，姐妹们可冲
[五R]宿迁市相代服饰有限公司
个位数的鸭舌帽谁懂啊，不过都是没标的，介意的姐妹斟酌一下。但是个位数的帽子，拿来搭配衣服，还要什么🚲
 
品牌代工能说明，工厂规模大，有实力；
但做出来的品质还是会根据品牌要求来；
不一样的成本，决定不一样的用料，大家要理性必消费嗷 

","广东
"
2,"从优衣库淘了两件衣服，2
","感觉还不错，1买到还舒服的工装裤，薄薄的，凉凉的，短袖摸着也还挺舒服。
 
2找到一套夏装，棒棒哒
 

","浙江
"
1,"2.优衣库饺子包
","也不知道值不值
","四川
"
2,"优衣库的裙裤夏天的神
","裤子是意外惊喜材质很舒服，还是裙裤，方便颜色也超级百搭，耐看
背心也蛮喜欢的，打特价才，但是很多同类型的衣服，不想为了优惠买一次性的衣服，先忍住了没买背心，不过裤子果断拿下了还搭配了一件短袖，好看 
","广东
"
2,"优衣库你这含金量
","同款货好：
早春夏季可穿推荐     
防晒速干轻盈面料
宽松版型触感凉爽舒适
高腰线显高

","湖南
"
2,"优衣库外套又降100？
","优衣库风衣又降价了100，版型很好，很有质感
其他外套也非常的适合入手
风衣货号11
图一黑白条纹外套货号
图一粉色连帽外套货号
图一卡其色外套货号2
图一灰色外套01
图一西装外套货号
","山东
"
1,"塞尔达是天
","不是优衣库联名买不起，而是自己定制更有性价比
先给家属安排一件可盖大人
（毕竟他是依盖队狂徒）

","河南
"
2,"天气慢慢热了想给男朋友买一件防晒衣
","觉得优衣库的防晒衣还挺好的，但是也就是想要一件款式好能防晒的衣服而已，不讲究牌子
其实看来看去觉得防晒衣他那个价钱还是有一点贵了
平替不香吗

","河南
"
